Company Name,Company Score,Alignment,Budget,Demand,Data Quality,Dev,F2P,Mobile,Fresh,Revenue,Funding,Headcount,Status,Volatility,Revenue ∆,Runway ∆,Headcount ∆,Hiring,URL,Country,FLAG,Notes,Discover Source,Created Date,Updated Date,Normalized Name
Spyke Games,85.1,100.0,78.4,48.0,,100.0,100.0,100.0,0.0,58.0,99.0,85.9,1.1,85.7,85.2,97.9,0.0,0.0,https://spykegames.com/#our_games,Turkey,,,,,2025-09-09,spyke
Bagelcode Inc.,85.1,100.0,63.8,70.0,,100.0,100.0,100.0,0.0,65.8,44.9,89.8,55.5,37.8,72.1,0.0,0.0,0.0,https://site.bagelcode.com/,South Korea,,,,,2025-09-09,bagelcode
voodoo,85.1,100.0,89.6,30.9,,100.0,100.0,100.0,0.0,76.9,99.7,98.6,22.6,19.6,37.4,0.0,0.0,0.0,https://www.voodoo.io/games/,France,,,,,2025-09-09,voodoo
Bombay Play Inc,84.9,100.0,55.8,81.1,,100.0,100.0,100.0,0.0,9.6,95.4,84.7,55.5,58.1,23.4,71.1,50.9,0.0,http://www.bombayplay.com,IND,,,,,2025-09-09,bombay play
Toca Boca AB,84.9,100.0,62.0,71.4,,100.0,100.0,100.0,0.0,58.2,44.9,96.7,55.5,40.3,60.1,0.0,28.0,0.0,http://tocaboca.com/careers/,SWE,,,,,2025-09-09,toca boca
VERTIGO GAMES,84.7,100.0,57.2,77.6,,100.0,100.0,100.0,0.0,49.1,44.9,93.0,55.5,51.7,80.6,9.3,17.5,0.0,https://www.vertigogames.co,Turkey,,,,,2025-09-09,vertigo
Microsoft Corporation,84.4,100.0,63.1,67.6,,100.0,100.0,100.0,0.0,98.4,0.0,93.0,55.5,33.5,63.9,0.0,0.0,0.0,microsoftcasualgames.com,UK,,,,,2025-09-09,microsoft
Embracer Group,84.4,100.0,84.3,35.8,,100.0,100.0,100.0,0.0,71.9,100.0,83.8,0.0,65.4,44.7,100.0,0.0,0.0,embracer.com,Cyprus,,,,,2025-09-09,embracer
Mythical Games,84.4,100.0,71.5,54.8,,100.0,100.0,100.0,0.0,36.9,99.6,95.5,0.0,100.0,89.3,96.0,40.9,0.0,mythicalgames.com,USA,,,,,2025-09-09,mythical
Pearl Abyss Corp.,84.3,100.0,56.8,76.5,,100.0,100.0,100.0,0.0,46.4,44.9,96.3,55.5,49.6,83.1,0.0,19.0,0.0,pearlabyss.com,South Korea,,,,,2025-09-09,pearl abyss
"FlowPlay, LLC",84.2,100.0,61.8,68.5,,100.0,100.0,100.0,0.0,23.4,95.5,84.5,37.3,64.4,66.9,23.3,62.1,0.0,http://FlowPlay.com,US,,,,,2025-09-09,flowplay
TreesPlease Games Ltd,84.1,100.0,53.7,80.1,,100.0,100.0,100.0,0.0,25.1,95.1,44.5,55.5,56.2,41.5,81.9,0.0,0.0,treespleasegames.com,United Kingdom,,,,,2025-09-09,treesplease
Electronic Arts,84.0,100.0,70.1,54.8,,100.0,100.0,100.0,0.0,92.0,44.9,66.6,36.2,41.2,71.2,9.3,0.0,0.0,http://www.ea.com,USA,,,,,2025-09-09,electronic arts
GIANTS Software GmbH,84.0,100.0,52.7,81.0,,100.0,100.0,100.0,0.0,40.8,44.9,88.6,55.5,57.8,87.5,0.0,38.0,0.0,http://www.giants-software.com,Switzerland,,,,,2025-09-09,giants
Paradox Interactive,83.9,100.0,61.8,66.8,,100.0,100.0,100.0,0.0,14.7,97.7,98.5,55.5,32.0,30.2,38.5,0.0,0.0,paradoxinteractive.com,Sweden,,,,,2025-09-09,paradox
NCSOFT,83.8,100.0,57.6,72.7,,100.0,100.0,100.0,0.0,46.7,44.9,99.6,55.5,42.7,81.5,0.0,0.0,0.0,ncsoft.com,South Korea,,,,,2025-09-09,ncsoft
IGG 天盟数码,83.7,100.0,58.0,71.5,,100.0,100.0,100.0,0.0,83.6,0.0,99.4,55.5,40.6,77.4,0.0,0.0,0.0,http://www.igg.com,Singapore,,,,,2025-09-09,igg
BoomBit,83.6,100.0,59.4,69.1,,100.0,100.0,100.0,0.0,52.5,44.9,96.4,55.5,36.1,41.3,9.3,33.5,0.0,http://www.boombit.com,Poland,,,,,2025-09-09,boombit
Prodigy Design Limited T/A Sidhe Interactive,83.5,100.0,77.9,40.8,,100.0,100.0,100.0,0.0,51.6,99.2,96.2,0.0,74.4,67.5,92.8,0.0,0.0,prodigygame.com,United States,,,,,2025-09-09,prodigy design t sidhe
"Hypemasters, Inc.",83.3,100.0,59.1,68.2,,100.0,100.0,100.0,0.0,27.5,92.9,67.9,30.5,75.0,46.4,60.4,80.5,0.0,https://www.hypemasters.com,US,,,,,2025-09-09,hypemasters
Activision Blizzard,83.3,100.0,56.4,72.2,,100.0,100.0,100.0,0.0,0.0,100.0,99.5,55.5,41.7,0.0,99.4,0.0,0.0,http://www.activisionblizzard.com/,United States,,,,,2025-09-09,activision blizzard
Space Ape Games,83.2,100.0,62.5,62.3,,100.0,100.0,100.0,0.0,24.4,97.0,83.6,14.9,89.5,88.9,31.8,94.0,0.0,https://spaceapegames.com/about,UK,,,,,2025-09-09,space ape
Kolibri Games,83.1,100.0,59.7,66.1,,100.0,100.0,100.0,0.0,55.1,44.9,92.5,55.5,30.7,38.2,0.0,33.9,0.0,https://kolibrigames.com/,Germany,,,,,2025-09-09,kolibri
Deca Games EOOD,82.9,100.0,76.7,39.6,,100.0,100.0,100.0,0.0,50.7,96.9,96.3,0.9,70.8,97.6,25.2,28.6,0.0,decagames.com,Germany,,,,,2025-09-09,deca eood
eRepublik Labs,82.8,100.0,45.4,86.0,,100.0,100.0,100.0,0.0,36.3,44.9,64.5,55.5,67.0,78.5,0.0,82.3,0.0,http://www.erepubliklabs.com,Ireland,,,,,2025-09-09,erepublik labs
OurPalm 掌趣,82.5,100.0,77.3,37.1,,100.0,100.0,100.0,0.0,51.2,98.6,95.0,0.0,67.8,84.9,55.4,0.0,0.0,ourpalm.com,China,,,,,2025-09-09,ourpalm
"HAEGIN Co., Ltd.",82.4,100.0,74.4,40.6,,100.0,100.0,100.0,0.0,57.1,99.2,68.9,0.0,74.1,68.5,90.9,0.0,0.0,haegin.kr,South Korea,,,,,2025-09-09,haegin
Vivid Games S.A.,82.3,100.0,43.0,87.3,,100.0,100.0,100.0,0.0,22.0,44.9,81.9,55.5,69.4,82.3,0.0,83.5,0.0,http://www.vividgames.com,Poland,,,,,2025-09-09,vivid
Upjers GmbH,82.2,100.0,55.4,68.5,,100.0,100.0,100.0,0.0,50.4,44.9,82.2,55.5,35.0,66.8,0.0,0.0,0.0,http://company.upjers.com/,Germany,,,,,2025-09-09,upjers
Tech Tree Games,82.2,100.0,62.9,56.9,,100.0,100.0,100.0,0.0,66.8,44.9,84.0,55.5,14.0,26.6,0.0,0.0,0.0,https://www.techtreegames.com/,US,,,,,2025-09-09,tree
GameDuell GmbH,82.1,100.0,83.4,25.8,,100.0,100.0,100.0,0.0,69.4,96.5,90.1,0.7,46.0,33.6,21.2,62.1,0.0,https://inside.gameduell.com/,Germany,,,,,2025-09-09,gameduell
Outplay Entertainment Ltd,81.9,100.0,67.7,48.4,,100.0,100.0,100.0,0.0,34.8,95.3,89.1,3.3,83.1,84.4,27.9,86.3,0.0,http://www.outplay.com,UK,,,,,2025-09-09,outplay
SQUARE ENIX INC,81.8,100.0,40.3,89.2,,100.0,100.0,100.0,0.0,50.9,0.0,83.4,55.5,72.9,92.0,0.0,78.4,0.0,https://www.square-enix-london-mobile.com/,United Kingdom,,,,,2025-09-09,square enix
"GungHo Online Entertainment, Inc.",81.8,100.0,58.1,62.3,,100.0,100.0,100.0,0.0,63.7,44.9,67.9,55.5,23.8,45.3,0.0,0.0,0.0,gungho.co.jp,United States,,,,,2025-09-09,gungho online
Fingersoft,81.6,100.0,59.1,59.6,,100.0,100.0,100.0,0.0,56.2,44.9,87.8,55.5,18.9,36.0,0.0,0.0,0.0,https://fingersoft.com/,Finland,,,,,2025-09-09,fingersoft
nWay Inc.,81.4,100.0,70.8,41.1,,100.0,100.0,100.0,0.0,41.9,96.4,87.4,7.8,62.4,36.3,44.5,78.6,0.0,https://nway.com/,US,,,,,2025-09-09,nway
Critical Force Ltd.,81.3,100.0,66.0,47.9,,100.0,100.0,100.0,0.0,33.2,97.0,81.7,12.2,67.5,77.7,63.8,0.0,0.0,https://criticalforce.fi/,Finland,,,,,2025-09-09,critical force
PerBlue Inc,81.1,100.0,66.9,45.7,,100.0,100.0,100.0,0.0,44.1,92.0,72.0,7.5,71.3,83.5,0.0,87.4,0.0,http://www.perblue.com,United States,,,,,2025-09-09,perblue
Studio Wildcard,80.8,100.0,51.3,67.7,,100.0,100.0,100.0,0.0,36.9,44.9,90.2,55.5,33.6,31.0,0.0,55.1,0.0,http://www.studiowildcard.com,United States,,,,,2025-09-09,wildcard
Dream Tiles Piano Game Studio,80.8,100.0,96.4,0.0,,100.0,100.0,100.0,0.0,94.1,99.7,95.3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2025-09-09,dream tiles piano
Klang Games,80.8,72.0,92.7,75.5,,100.0,100.0,0.0,0.0,88.4,98.7,91.6,55.5,47.8,0.0,92.4,28.7,0.0,http://www.klang-games.com,Germany,,,,,2025-09-09,klang
KIXEYE Canada Ltd,80.7,100.0,60.9,52.9,,100.0,100.0,100.0,0.0,15.9,97.9,91.4,0.9,95.2,99.3,48.9,71.7,0.0,kixeye.com,USA,,,,,2025-09-09,kixeye canada
Papaya Gaming,80.6,100.0,62.9,49.3,,100.0,100.0,100.0,0.0,96.2,44.9,24.7,55.5,0.0,0.0,0.0,0.0,0.0,http://www.papayagaming.com,isr,x,Investigate Alignment score 0 (seems too low),,,2025-09-09,papaya
CCP Games,80.2,100.0,69.7,37.1,,100.0,100.0,100.0,0.0,31.3,99.0,99.3,0.0,67.7,52.4,95.8,0.0,0.0,ccpgames.com,Iceland,,,,,2025-09-09,ccp
Fanatee,80.0,100.0,49.8,66.1,,100.0,100.0,100.0,0.0,32.5,44.9,91.9,55.5,30.7,58.5,0.0,0.0,0.0,https://fanatee.com/#games,Brazil,,,,,2025-09-09,fanatee
"Game Insight, LLC",79.9,100.0,67.3,39.2,,100.0,100.0,100.0,0.0,50.4,95.8,55.4,0.0,71.5,74.0,77.9,0.0,0.0,digitalinsightgames.com,Lithuania,,,,,2025-09-09,insight
InnerSloth LLC,79.9,100.0,49.5,65.9,,100.0,100.0,100.0,0.0,34.2,44.9,87.3,55.5,30.4,42.2,0.0,26.1,0.0,http://www.innersloth.com,US,,,,,2025-09-09,innersloth
IsCool Entertainment,79.8,100.0,42.7,75.5,,100.0,100.0,100.0,0.0,28.9,44.9,66.6,55.5,47.9,91.3,0.0,0.0,0.0,http://www.iscoolentertainment.com,France,,,,,2025-09-09,iscool
Riot Games,79.7,72.0,99.1,60.5,,100.0,100.0,0.0,0.0,99.7,97.7,100.0,55.5,20.5,0.0,48.8,0.0,0.0,http://www.riotgames.com,USA,,,,,2025-09-09,riot
Gameberry Labs,79.6,100.0,50.5,62.8,,100.0,100.0,100.0,0.0,67.6,0.0,96.9,55.5,24.7,46.9,0.0,0.3,0.0,gameberrylabs.com,IND,,,GJ Top 1k,2025-09-09,2025-09-09,gameberry labs
Big Huge Games.,79.5,100.0,53.6,57.7,,100.0,100.0,100.0,0.0,41.3,44.9,91.9,23.0,68.0,87.7,0.0,70.2,0.0,http://bighugegames.com/,US,,,,,2025-09-09,big huge
XYRALITY GmbH,79.3,100.0,43.9,71.3,,100.0,100.0,100.0,0.0,30.2,44.9,69.5,55.5,40.1,76.5,0.0,0.0,0.0,http://www.xyrality.com,Germany,,,,,2025-09-09,xyrality
Tamatem Inc.,79.3,100.0,69.8,32.5,,100.0,100.0,100.0,0.0,37.4,97.1,90.7,0.0,59.3,58.6,68.0,0.0,0.0,tamatem.co,United States,,,,,2025-09-09,tamatem
Playrix,79.2,100.0,80.0,16.9,,100.0,100.0,100.0,0.0,98.2,44.9,99.5,0.0,30.9,58.9,0.0,0.0,0.0,playrix.com,Russia,,,,,2025-09-09,playrix
Moonton Games,79.2,100.0,73.6,26.2,,100.0,100.0,100.0,0.0,83.7,44.9,99.4,0.0,47.9,91.3,0.0,0.0,0.0,moonton.com,China,,,,,2025-09-09,moonton
NetEase 网易,79.1,100.0,76.0,22.2,,100.0,100.0,100.0,0.0,88.8,44.9,99.8,12.9,19.6,30.0,9.3,0.0,0.0,http://neteasegames.com,China,,,,,2025-09-09,netease
Ten Square Games,79.1,100.0,67.0,35.7,,100.0,100.0,100.0,0.0,70.2,44.9,96.1,16.3,38.6,73.6,0.0,0.0,0.0,https://tensquaregames.com,"Poland, Italy",,,,,2025-09-09,ten square
Stillfront Group,78.9,100.0,55.0,52.9,,100.0,100.0,100.0,0.0,80.8,0.0,91.0,30.4,47.3,72.2,0.0,29.9,0.0,http://www.stillfront.com,"US, Germany",,,,,2025-09-09,stillfront
Century Games,78.8,100.0,79.1,16.0,,100.0,100.0,100.0,0.0,98.5,44.9,94.7,8.7,15.0,28.7,0.0,0.0,0.0,http://www.centurygames.com,Singapore,,,,,2025-09-09,century
Netmarble Games Corp.,78.8,100.0,77.6,18.5,,100.0,100.0,100.0,0.0,93.2,44.9,98.7,0.0,33.7,64.3,0.0,0.0,0.0,https://netmarble.com,South Korea,,,,,2025-09-09,netmarble
Rec Room Inc.,78.5,100.0,68.3,30.7,,100.0,100.0,100.0,0.0,28.8,99.5,97.1,0.0,56.0,77.9,0.0,48.2,0.0,recroom.com,United States,,,,,2025-09-09,rec room
Peak Games,78.4,72.0,97.3,56.8,,100.0,100.0,0.0,0.0,98.9,97.4,93.5,55.5,13.7,0.0,32.7,0.0,0.0,https://www.peak.com/about,Turkey,,,,,2025-09-09,peak
Webelinx Games,78.4,100.0,49.9,57.9,,100.0,100.0,100.0,0.0,43.2,44.9,71.1,55.5,15.7,29.8,0.0,0.0,0.0,webelinxgames.com,Serbia,,,,,2025-09-09,webelinx
SMG Studio,78.3,100.0,43.3,67.6,,100.0,100.0,100.0,0.0,22.3,44.9,82.7,55.5,33.4,63.7,0.0,0.0,0.0,http://www.smgstudio.com,AUS,,,,,2025-09-09,smg
Pretty Simple,78.3,100.0,75.8,18.5,,100.0,100.0,100.0,0.0,57.0,92.9,85.9,0.0,33.7,20.3,21.9,44.2,0.0,prettysimplegames.com,France,,,,,2025-09-09,pretty simple
Storm8 Studios,78.1,72.0,95.5,57.9,,100.0,100.0,0.0,0.0,97.0,99.6,85.4,55.5,15.8,0.0,37.6,0.0,0.0,http://www.storm8.com,USA,,,,,2025-09-09,storm8
AppLovin Corp,78.1,100.0,40.3,70.8,,100.0,100.0,100.0,0.0,92.6,0.0,0.0,55.5,39.2,74.8,0.0,0.0,0.0,,"China, US",,,,,2025-09-09,applovin
TAPCLAP,78.1,100.0,48.1,59.2,,100.0,100.0,100.0,0.0,39.6,44.9,70.0,55.5,18.1,34.6,0.0,0.0,0.0,tapclap.com,Cyprus,,,,,2025-09-09,tapclap
Playdemic,78.0,72.0,92.5,62.1,,100.0,100.0,0.0,0.0,97.0,93.1,82.2,55.5,23.4,0.0,9.3,62.1,0.0,http://www.playdemic.com,UK,,,,,2025-09-09,playdemic
Embark Studios,78.0,72.0,98.3,53.6,,100.0,100.0,0.0,0.0,99.1,97.8,97.0,55.5,7.8,0.0,0.0,24.8,0.0,https://www.embark-studios.com/,SWE,,,,,2025-09-09,embark
Tap4Fun 尼毕鲁,78.0,100.0,71.3,24.1,,100.0,100.0,100.0,0.0,79.4,44.9,97.1,0.0,44.1,46.7,0.0,62.1,0.0,tap4fun.com,China,,,,,2025-09-09,tap4fun
Com2uS Holdings Corp,77.8,100.0,73.4,19.8,,100.0,100.0,100.0,0.0,83.7,44.9,98.4,0.0,36.2,69.0,0.0,0.0,0.0,com2us.com,South Korea,,,,,2025-09-09,com2us
FunPlus,77.8,100.0,39.4,70.8,,100.0,100.0,100.0,0.0,90.5,0.0,0.0,55.5,39.3,74.9,0.0,0.0,0.0,http://www.funplus.com,China,,,,,2025-09-09,funplus
Play Piknik,77.5,100.0,47.7,57.0,,100.0,100.0,100.0,0.0,44.8,44.9,58.1,55.5,14.1,26.8,0.0,0.0,0.0,24play.games,Canada,,,,,2025-09-09,play piknik
Playgendary,77.5,100.0,58.6,40.3,,100.0,100.0,100.0,0.0,51.3,44.9,95.2,0.0,73.5,86.0,0.0,90.3,0.0,playgendary.com,Cyprus,,,,,2025-09-09,playgendary
InnoGames,77.4,72.0,98.6,50.0,,100.0,100.0,0.0,0.0,98.8,98.9,97.6,41.9,23.2,0.0,55.2,0.0,0.0,https://www.innogames.com/career/,Germany,,,,,2025-09-09,innogames
dirtyBit,77.4,100.0,39.6,68.6,,100.0,100.0,100.0,0.0,33.0,44.9,44.5,55.5,35.3,67.2,0.0,0.0,0.0,http://dirtybit.com,Norway,,,,,2025-09-09,dirtybit
Roblox Corporation,77.4,100.0,67.3,27.1,,100.0,100.0,100.0,0.0,95.5,44.9,46.7,0.0,49.4,86.8,9.3,0.0,0.0,robloxgames.com,United States,,,,,2025-09-09,roblox
Yotta,77.3,100.0,70.1,22.5,,100.0,100.0,100.0,0.0,77.3,44.9,95.7,0.0,41.0,78.3,0.0,0.0,0.0,yottastudios.us,Singapore,,,,,2025-09-09,yotta
Noodlecake Studios Inc,77.3,100.0,38.0,70.5,,100.0,100.0,100.0,0.0,27.0,44.9,48.8,55.5,38.7,73.8,0.0,0.0,0.0,http://www.noodlecake.com/,Canada,,,,,2025-09-09,noodlecake
